/home/lyra/models/strix-halo-glm-5.3-flash/engine/build-unsloth-hip/bin/llama-server -m /home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf -ngl 99 -c 16384 -np 1 -fa on -ctk q8_0 -ctv q8_0 -b 4096 -ub 1024 -t 8 --load-mode none --cache-ram 512 --spec-type draft-mtp --spec-draft-n-max 3 --spec-draft-p-min 0.75 --jinja --chat-template-kwargs '{"reasoning_effort": "low"}' --temp 1.0 --top-p 0.95 --top-k 0 --min-p 0.0 --host 127.0.0.1 --port 8096 -a glm-5.3-flash --no-webui -lv 3
0.00.018.770 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.018.863 I srv          init: The UI is disabled
0.00.018.864 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.018.932 W srv  llama_server: -----------------
0.00.018.933 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.018.933 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.018.933 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.018.933 W srv  llama_server: -----------------
0.00.020.180 I srv    load_model: loading model '/home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf'
0.00.801.493 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.801.497 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
1.09.531.642 W create_memory: indexer key cache stays f16 rather than q8_0: it also holds the compressor gates
1.09.855.592 I cmn          init: llama threadpool init, n_threads = 8
1.10.051.759 I common_speculative_init_result: creating MTP draft context against the target model '/home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf'
1.10.770.325 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.11.016.192 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
1.11.016.258 I srv  llama_server: model loaded
1.11.016.268 I srv  llama_server: listening on http://127.0.0.1:8096
1.12.034.590 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.12.035.319 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.37.512.601 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4105, progress = 0.38, t =  21.15 s / 194.13 tokens per second
2.05.392.102 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8201, progress = 0.76, t =  48.72 s / 168.33 tokens per second
2.17.321.778 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9773, progress = 0.90, t =  62.75 s / 155.74 tokens per second
2.25.251.345 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10797, progress = 1.00, t =  68.53 s / 157.54 tokens per second
2.32.324.656 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  15.14 t/s, tg_3s =  15.29 t/s
2.35.388.875 I slot print_timing: id  0 | task 0 | n_gen =    143, tg =  14.68 t/s, tg_3s =  13.71 t/s
2.38.457.914 I slot print_timing: id  0 | task 0 | n_gen =    189, tg =  14.76 t/s, tg_3s =  14.99 t/s
2.41.495.084 I slot print_timing: id  0 | task 0 | n_gen =    236, tg =  14.90 t/s, tg_3s =  15.47 t/s
2.44.590.595 I slot print_timing: id  0 | task 0 | n_gen =    282, tg =  14.89 t/s, tg_3s =  14.86 t/s
2.47.700.862 I slot print_timing: id  0 | task 0 | n_gen =    332, tg =  15.06 t/s, tg_3s =  16.08 t/s
2.50.743.636 I slot print_timing: id  0 | task 0 | n_gen =    375, tg =  14.94 t/s, tg_3s =  14.13 t/s
2.53.774.946 I slot print_timing: id  0 | task 0 | n_gen =    418, tg =  14.86 t/s, tg_3s =  14.19 t/s
2.56.938.061 I slot print_timing: id  0 | task 0 | n_gen =    465, tg =  14.86 t/s, tg_3s =  14.86 t/s
3.00.008.362 I slot print_timing: id  0 | task 0 | n_gen =    510, tg =  14.84 t/s, tg_3s =  14.66 t/s
3.00.206.587 I slot print_timing: id  0 | task 0 | prompt eval time =   73682.76 ms / 10801 tokens (    6.82 ms per token,   146.59 tokens per second)
3.00.206.593 I slot print_timing: id  0 | task 0 |        eval time =   34488.45 ms /   512 tokens (   67.49 ms per token,    14.82 tokens per second)
3.00.206.595 I slot print_timing: id  0 | task 0 |       total time =  108171.21 ms / 11313 tokens
3.00.206.602 I slot print_timing: id  0 | task 0 |    graphs reused =          0
3.00.206.609 I slot print_timing: id  0 | task 0 | draft acceptance = 0.78275 (  245 accepted /   313 generated), mean len =  2.43
3.00.208.456 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11312, truncated = 0
[memguard] fertig nach 181s: MemAvailable Start 106.6 GiB, Minimum 7.2 GiB (Verbrauch 99.4 GiB), Peak GTT 97.1 GiB, Peak RSS 2.0 GiB, exit -9
