/home/lyra/models/strix-halo-glm-5.3-flash/engine/build-unsloth-hip/bin/llama-server -m /home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf -ngl 99 -c 16384 -np 1 -fa on -ctk q8_0 -ctv q8_0 -b 4096 -ub 1024 -t 8 --load-mode none --cache-ram 512 --spec-type draft-mtp --spec-draft-n-max 7 --spec-draft-p-min 0.75 --jinja --chat-template-kwargs '{"reasoning_effort": "low"}' --temp 1.0 --top-p 0.95 --top-k 0 --min-p 0.0 --host 127.0.0.1 --port 8096 -a glm-5.3-flash --no-webui -lv 3
0.00.021.978 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.022.077 I srv          init: The UI is disabled
0.00.022.077 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.145 W srv  llama_server: -----------------
0.00.022.146 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.022.147 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.022.147 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.022.147 W srv  llama_server: -----------------
0.00.023.387 I srv    load_model: loading model '/home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf'
0.00.831.387 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.831.391 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
1.17.224.574 W create_memory: indexer key cache stays f16 rather than q8_0: it also holds the compressor gates
1.17.447.233 I cmn          init: llama threadpool init, n_threads = 8
1.17.727.862 I common_speculative_init_result: creating MTP draft context against the target model '/home/lyra/models/strix-halo-glm-5.3-flash/models/variants/UD-IQ2_XXS.glm5next/GLM-5.3-Flash-UD-IQ2_XXS-00001-of-00004.gguf'
1.18.004.049 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.18.163.516 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
1.18.163.563 I srv  llama_server: model loaded
1.18.163.568 I srv  llama_server: listening on http://127.0.0.1:8096
1.20.025.790 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.20.025.874 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.45.695.146 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4105, progress = 0.38, t =  21.97 s / 186.84 tokens per second
2.13.667.602 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8201, progress = 0.76, t =  48.67 s / 168.52 tokens per second
2.25.652.316 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9773, progress = 0.90, t =  63.19 s / 154.66 tokens per second
2.33.571.743 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10797, progress = 1.00, t =  70.08 s / 154.07 tokens per second
2.40.565.864 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  15.12 t/s, tg_3s =  15.27 t/s
2.43.642.637 I slot print_timing: id  0 | task 0 | n_gen =    138, tg =  14.23 t/s, tg_3s =  12.35 t/s
2.46.835.708 I slot print_timing: id  0 | task 0 | n_gen =    185, tg =  14.36 t/s, tg_3s =  14.72 t/s
2.49.875.233 I slot print_timing: id  0 | task 0 | n_gen =    228, tg =  14.32 t/s, tg_3s =  14.15 t/s
2.52.899.288 I slot print_timing: id  0 | task 0 | n_gen =    268, tg =  14.14 t/s, tg_3s =  13.23 t/s
2.55.975.017 I slot print_timing: id  0 | task 0 | n_gen =    314, tg =  14.26 t/s, tg_3s =  14.96 t/s
2.59.038.264 I slot print_timing: id  0 | task 0 | n_gen =    365, tg =  14.55 t/s, tg_3s =  16.65 t/s
3.02.074.831 I slot print_timing: id  0 | task 0 | n_gen =    411, tg =  14.61 t/s, tg_3s =  15.15 t/s
3.05.093.363 I slot print_timing: id  0 | task 0 | n_gen =    453, tg =  14.55 t/s, tg_3s =  13.91 t/s
3.08.097.779 I slot print_timing: id  0 | task 0 | n_gen =    495, tg =  14.50 t/s, tg_3s =  13.98 t/s
3.09.348.013 I slot print_timing: id  0 | task 0 | prompt eval time =   73992.14 ms / 10801 tokens (    6.85 ms per token,   145.97 tokens per second)
3.09.348.019 I slot print_timing: id  0 | task 0 |        eval time =   35329.94 ms /   512 tokens (   69.14 ms per token,    14.46 tokens per second)
3.09.348.020 I slot print_timing: id  0 | task 0 |       total time =  109322.08 ms / 11313 tokens
3.09.348.030 I slot print_timing: id  0 | task 0 |    graphs reused =          0
3.09.348.037 I slot print_timing: id  0 | task 0 | draft acceptance = 0.79412 (  243 accepted /   306 generated), mean len =  2.61
3.09.348.428 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11312, truncated = 0
[memguard] fertig nach 190s: MemAvailable Start 106.6 GiB, Minimum 6.6 GiB (Verbrauch 100.0 GiB), Peak GTT 97.7 GiB, Peak RSS 2.1 GiB, exit -9
